Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0150,13.47,0.137,46.53,1.0000,1.0000,0.0150
1.2,3.000,0.000,0.0099,13.07,0.124,46.93,1.0000,1.0000,0.0099
1.3,3.000,0.000,0.0000,0.00,0.277,60.00,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0133,6.36,0.449,53.64,1.0000,1.0000,0.0133
2.2,3.000,0.000,0.1309,60.00,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.000,0.000,0.0030,30.23,0.016,25.79,0.0000,0.0000,0.0000
2.4,3.000,0.000,0.0868,60.00,0.000,0.00,0.0000,0.0000,0.0000
2.5,3.000,0.000,0.0002,0.00,0.274,60.00,1.0000,1.0000,0.0002
2.6,3.000,0.000,0.0138,0.07,0.283,59.93,1.0000,1.0000,0.0138
3.1,3.000,0.000,0.0111,6.50,0.465,53.50,1.0000,1.0000,0.0111
3.2,3.000,0.000,0.1160,60.00,0.000,0.00,0.0000,0.0000,0.0000
3.3,3.000,0.000,0.0126,6.05,0.643,53.95,1.0000,1.0000,0.0126
3.4,3.000,0.000,0.0000,60.00,0.000,0.00,0.0000,0.0000,0.0000
3.5,3.000,0.000,0.1205,0.07,0.279,59.93,1.0000,1.0000,0.1205
4.1,3.000,0.000,0.0968,60.00,0.000,0.00,0.0000,0.0000,0.0000
4.2,3.000,0.000,0.0265,60.00,0.000,0.00,0.0000,0.0000,0.0000
4.3,3.000,0.000,0.0133,6.46,0.793,53.54,1.0000,1.0000,0.0133
4.4,3.000,0.000,0.1101,24.52,0.044,15.16,0.7690,0.7690,0.0847
4.5,3.000,0.000,0.0006,5.61,0.863,54.39,1.0000,1.0000,0.0006
5.1,3.000,0.000,0.0021,7.38,0.942,52.62,1.0000,1.0000,0.0021
5.2,3.000,0.000,0.1166,21.09,0.119,25.66,0.9976,0.9976,0.1163
6.1,3.000,0.000,0.0056,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0061,6.01,1.031,53.99,1.0000,1.0000,0.0061
7.1,3.000,0.000,0.0018,7.63,1.094,52.37,1.0000,1.0000,0.0018
7.2,3.000,0.000,0.0184,,,,,0.0000,0.0000
1.1,3.600,0.000,0.0060,9.77,0.298,50.23,1.0000,1.0000,0.0060
1.2,3.600,0.000,0.0040,9.09,0.310,50.91,1.0000,1.0000,0.0040
1.3,3.600,0.000,0.0000,0.00,0.454,60.00,1.0000,1.0000,0.0000
2.1,3.600,0.000,0.0053,5.46,0.398,54.54,1.0000,1.0000,0.0053
2.2,3.600,0.000,0.1399,60.00,0.000,0.00,0.0000,0.0000,0.0000
2.3,3.600,0.000,0.0012,17.40,0.220,42.60,1.0000,1.0000,0.0012
2.4,3.600,0.000,0.0927,60.00,0.000,0.00,0.0000,0.0000,0.0000
2.5,3.600,0.000,0.0002,0.00,0.450,60.00,1.0000,1.0000,0.0002
