Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Maximum GZ,Range,s
1.1,3.000,0.000,0.3830,0.0000,0.0000
1.2,3.000,0.000,0.3493,1.0000,0.3493,0.00,0.400,56.91,1.0000
1.3,3.000,0.000,0.1345,1.0000,0.1345,0.00,0.287,60.00,1.0000
2.1,3.000,0.000,0.0673,0.0000,0.0000,,,,
2.2,3.000,0.000,0.0658,0.0000,0.0000,,,,
1.1,3.600,0.000,0.3830,0.0000,0.0000,,,,
1.2,3.600,0.000,0.3493,1.0000,0.3493,0.00,0.217,45.28,1.0000
1.3,3.600,0.000,0.1345,1.0000,0.1345,0.00,0.470,60.00,1.0000
2.1,3.600,0.000,0.0673,0.0000,0.0000,,,,
2.2,3.600,0.000,0.0658,0.0000,0.0000,,,,
1.1,4.000,0.000,0.3830,0.0000,0.0000,,,,
1.2,4.000,0.000,0.3493,0.0000,0.0000,,,,
1.3,4.000,0.000,0.1345,1.0000,0.1345,0.00,0.538,60.00,1.0000
2.1,4.000,0.000,0.0673,0.0000,0.0000,,,,
2.2,4.000,0.000,0.0658,0.0000,0.0000,,,,
