Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.1604,0.00,37.66,aft starboard,0.173,37.66,1.0000,1.0000,0.1604
2.1,3.000,0.000,0.1567,0.00,32.34,aft starboard,0.164,32.34,1.0000,1.0000,0.1567
2.2,3.000,0.000,0.3493,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.3493
2.3,3.000,0.000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1345
3.1,3.000,0.000,0.0659,,,,,,,0.0000,0.0000
4.1,3.000,0.000,0.0667,,,,,,,0.0000,0.0000
4.2,3.000,0.000,0.0658,,,,,,,0.0000,0.0000
5.1,3.000,0.000,0.0006,,,,,,,0.0000,0.0000
1.1,3.600,0.000,0.1604,0.00,18.27,aft starboard,0.160,18.27,1.0000,1.0000,0.1604
2.1,3.600,0.000,0.1567,0.00,18.41,aft starboard,0.134,18.41,1.0000,1.0000,0.1567
2.2,3.600,0.000,0.3493,0.00,4.42,mid starboard,0.085,4.42,0.6643,0.6643,0.2321
2.3,3.600,0.000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1345
3.1,3.600,0.000,0.0659,,,,,,,0.0000,0.0000
4.1,3.600,0.000,0.0667,,,,,,,0.0000,0.0000
4.2,3.600,0.000,0.0658,,,,,,,0.0000,0.0000
5.1,3.600,0.000,0.0006,,,,,,,0.0000,0.0000
1.1,4.000,0.000,0.1604,0.00,6.02,aft starboard,0.059,6.02,0.6556,0.6556,0.1052
2.1,4.000,0.000,0.1567,0.00,9.28,aft starboard,0.062,9.28,0.7406,0.7406,0.1160
2.2,4.000,0.000,0.3493,,,,,,,0.0000,0.0000
2.3,4.000,0.000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1345
3.1,4.000,0.000,0.0659,,,,,,,0.0000,0.0000
4.1,4.000,0.000,0.0667,,,,,,,0.0000,0.0000
4.2,4.000,0.000,0.0658,,,,,,,0.0000,0.0000
5.1,4.000,0.000,0.0006,,,,,,,0.0000,0.0000
