Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
1.1,3.000,0.000,0.3830,0.0000,0.0000
1.2,3.000,0.000,0.2108,1.0000,0.2108,0.00,34.06,mid starboard,0.206,34.06,1.0000
1.3,3.000,0.000,0.0766,1.0000,0.0766,0.00,48.38,mid starboard,0.287,48.38,1.0000
1.4,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.62,mid starboard,0.287,51.62,1.0000
2.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
2.2,3.000,0.000,0.0619,1.0000,0.0619,0.00,20.66,mid starboard,0.365,20.66,1.0000
2.3,3.000,0.000,0.0604,1.0000,0.0604,0.00,44.63,mid starboard,0.349,44.63,1.0000
3.1,3.000,0.000,0.0000,0.0000,0.0000,,,,,,
3.2,3.000,0.000,0.0054,0.0000,0.0000,,,,,,
1.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
1.2,3.600,0.000,0.2108,1.0000,0.2108,0.00,21.61,mid starboard,0.300,21.61,1.0000
1.3,3.600,0.000,0.0766,1.0000,0.0766,0.00,36.03,mid starboard,0.463,36.03,1.0000
1.4,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
2.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
2.2,3.600,0.000,0.0619,0.6647,0.0412,0.00,4.42,mid starboard,0.085,4.42,0.6647
2.3,3.600,0.000,0.0604,1.0000,0.0604,0.00,31.64,mid starboard,0.482,31.64,1.0000
3.1,3.600,0.000,0.0000,0.0000,0.0000,,,,,,
3.2,3.600,0.000,0.0054,0.0000,0.0000,,,,,,
1.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
1.2,4.000,0.000,0.2108,0.9681,0.2041,0.00,14.05,mid starboard,0.244,14.05,0.9681
1.3,4.000,0.000,0.0766,1.0000,0.0766,0.00,29.09,mid starboard,0.483,29.09,1.0000
1.4,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
2.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
2.2,4.000,0.000,0.0619,0.0000,0.0000,,,,,,
2.3,4.000,0.000,0.0604,1.0000,0.0604,0.00,24.00,mid starboard,0.448,24.00,1.0000
3.1,4.000,0.000,0.0000,0.0000,0.0000,,,,,,
3.2,4.000,0.000,0.0054,0.0000,0.0000,,,,,,
