Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
3.1,3.000,0.000,0.2237,0.00,22.27,aft starboard,0.102,22.27,0.9602,0.9602,0.2148
3.2,3.000,0.000,0.0956,0.00,41.50,aft starboard,0.215,41.50,1.0000,1.0000,0.0956
3.3,3.000,0.000,0.3493,0.00,20.66,mid starboard,0.365,20.66,1.0000,1.0000,0.3493
3.4,3.000,0.000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000,1.0000,0.1345
6.1,3.000,0.000,0.0637,,,,,,,0.0000,0.0000
6.2,3.000,0.000,0.0638,0.00,-0.01,mid port,0.000,0.00,0.0000,0.0000,0.0000
6.3,3.000,0.000,0.0658,,,,,,,0.0000,0.0000
3.1,3.600,0.000,0.2237,0.00,-0.01,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
3.2,3.600,0.000,0.0956,0.00,26.66,aft starboard,0.260,26.66,1.0000,1.0000,0.0956
3.3,3.600,0.000,0.3493,0.00,4.42,mid starboard,0.085,4.42,0.6643,0.6643,0.2321
3.4,3.600,0.000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000,1.0000,0.1345
6.1,3.600,0.000,0.0637,,,,,,,0.0000,0.0000
6.2,3.600,0.000,0.0638,,,,,,,0.0000,0.0000
6.3,3.600,0.000,0.0658,,,,,,,0.0000,0.0000
3.1,4.000,0.000,0.2237,60.00,-0.01,aft port,0.000,0.00,0.0000,0.0000,0.0000
3.2,4.000,0.000,0.0956,0.00,19.18,aft starboard,0.210,19.18,1.0000,1.0000,0.0956
3.3,4.000,0.000,0.3493,,,,,,,0.0000,0.0000
3.4,4.000,0.000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000,1.0000,0.1345
6.1,4.000,0.000,0.0637,,,,,,,0.0000,0.0000
6.2,4.000,0.000,0.0638,,,,,,,0.0000,0.0000
6.3,4.000,0.000,0.0658,,,,,,,0.0000,0.0000
