Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
2.1,3.000,0.000,0.3830,0.0000,0.0000
3.1,3.000,0.000,0.3493,1.0000,0.3493,0.00,20.66,mid starboard,0.365,20.66,1.0000
3.2,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
5.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,3.000,0.000,0.0658,0.0000,0.0000,,,,,,
2.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
3.1,3.600,0.000,0.3493,0.6625,0.2314,0.00,4.39,mid starboard,0.084,4.39,0.6625
3.2,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.25,mid starboard,0.469,39.25,1.0000
5.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,3.600,0.000,0.0658,0.0000,0.0000,,,,,,
2.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
3.1,4.000,0.000,0.3493,0.0000,0.0000,,,,,,
3.2,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.506,32.39,1.0000
5.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
6.1,4.000,0.000,0.0658,0.0000,0.0000,,,,,,
