Damage case,Intact draft,Intact trim,pi * ri * vi,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s,si,ai
1.1,3.000,0.000,0.0047,0.57,51.70,mid starboard,0.234,51.14,1.0000,1.0000,0.0047
1.2,3.000,0.000,0.0010,0.06,52.26,mid starboard,0.252,52.20,1.0000,1.0000,0.0010
1.3,3.000,0.000,0.0010,0.12,52.26,mid starboard,0.249,52.14,1.0000,1.0000,0.0010
1.4,3.000,0.000,0.0000,0.01,52.34,mid starboard,0.258,52.33,1.0000,1.0000,0.0000
2.1,3.000,0.000,0.0065,5.19,49.73,mid starboard,0.214,44.55,1.0000,1.0000,0.0065
2.2,3.000,0.000,0.0070,10.13,50.49,mid starboard,0.157,40.35,1.0000,1.0000,0.0070
2.3,3.000,0.000,0.0088,0.06,51.99,mid starboard,0.233,51.93,1.0000,1.0000,0.0088
2.4,3.000,0.000,0.0006,0.19,52.18,mid starboard,0.242,51.99,1.0000,1.0000,0.0006
2.5,3.000,0.000,0.0085,0.12,51.90,mid starboard,0.232,51.79,1.0000,1.0000,0.0085
2.6,3.000,0.000,0.0090,13.08,50.74,mid starboard,0.124,37.66,1.0000,1.0000,0.0090
2.7,3.000,0.000,0.0004,0.01,52.31,mid starboard,0.258,52.30,1.0000,1.0000,0.0004
3.1,3.000,0.000,0.0046,6.95,48.58,mid starboard,0.276,41.63,1.0000,1.0000,0.0046
3.2,3.000,0.000,0.0413,0.57,48.82,mid starboard,0.193,48.26,1.0000,1.0000,0.0413
3.3,3.000,0.000,0.0022,13.48,49.88,mid starboard,0.137,36.41,1.0000,1.0000,0.0022
3.4,3.000,0.000,0.0001,0.06,51.99,mid starboard,0.233,51.93,1.0000,1.0000,0.0001
3.5,3.000,0.000,0.0138,0.08,51.81,mid starboard,0.283,51.73,1.0000,1.0000,0.0138
4.1,3.000,0.000,0.0566,5.18,45.80,aft starboard,0.134,40.61,1.0000,1.0000,0.0566
4.2,3.000,0.000,0.0051,21.42,47.22,mid starboard,0.110,25.79,0.9796,0.9796,0.0050
4.3,3.000,0.000,0.0612,10.24,46.86,mid starboard,0.031,18.13,0.7114,0.7114,0.0435
4.4,3.000,0.000,0.0054,0.18,51.56,mid starboard,0.207,51.37,1.0000,1.0000,0.0054
4.5,3.000,0.000,0.0024,26.86,48.93,mid starboard,0.036,22.07,0.5852,0.5852,0.0014
4.6,3.000,0.000,0.0126,34.38,47.01,mid starboard,0.095,12.62,0.0000,0.0000,0.0000
4.7,3.000,0.000,0.0783,60.00,45.21,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.1,3.000,0.000,0.0000,30.24,48.35,mid starboard,0.016,18.11,0.0000,0.0000,0.0000
5.2,3.000,0.000,0.0000,0.18,51.56,mid starboard,0.207,51.37,1.0000,1.0000,0.0000
5.3,3.000,0.000,0.0005,21.44,47.19,mid starboard,0.111,25.75,0.9811,0.9811,0.0005
5.4,3.000,0.000,0.0015,34.16,46.93,mid starboard,0.099,12.77,0.0000,0.0000,0.0000
5.5,3.000,0.000,0.0000,60.00,45.11,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
5.6,3.000,0.000,0.0006,34.44,47.00,mid starboard,0.095,12.56,0.0000,0.0000,0.0000
5.7,3.000,0.000,0.1204,0.08,51.68,mid starboard,0.279,51.60,1.0000,1.0000,0.1204
6.1,3.000,0.000,0.0406,7.58,38.90,aft starboard,0.174,31.32,1.0000,1.0000,0.0406
6.2,3.000,0.000,0.0023,26.71,44.34,aft starboard,0.059,17.63,0.6797,0.6797,0.0015
6.3,3.000,0.000,0.0447,60.00,43.32,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
6.4,3.000,0.000,0.1101,60.00,41.57,mid starboard,0.000,0.00,0.0000,0.0000,0.0000
6.5,3.000,0.000,0.0003,34.22,46.93,mid starboard,0.099,12.71,0.0000,0.0000,0.0000
7.1,3.000,0.000,0.0003,26.70,44.30,aft starboard,0.060,17.60,0.6824,0.6824,0.0002
7.2,3.000,0.000,0.0196,60.00,40.55,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
7.3,3.000,0.000,0.0031,14.85,41.18,aft starboard,0.327,26.32,1.0000,1.0000,0.0031
7.4,3.000,0.000,0.0045,60.00,43.28,aft starboard,0.000,0.00,0.0000,0.0000,0.0000
