Damage case,Intact draft,Intact trim,pi * ri * vi,si,ai,Equilibrium angle of heel,Downflooding angle,Downflooding opening,Maximum GZ,Range,s
3.1,3.000,0.000,0.3830,0.0000,0.0000
4.1,3.000,0.000,0.2905,1.0000,0.2905,0.00,27.02,mid starboard,0.317,27.02,1.0000
4.2,3.000,0.000,0.0168,1.0000,0.0168,0.00,51.42,mid starboard,0.272,51.42,1.0000
5.1,3.000,0.000,0.1345,1.0000,0.1345,0.00,51.61,mid starboard,0.287,51.61,1.0000
7.1,3.000,0.000,0.0673,0.0000,0.0000,,,,,,
3.1,3.600,0.000,0.3830,0.0000,0.0000,,,,,,
4.1,3.600,0.000,0.2905,0.9646,0.2802,0.00,13.85,mid starboard,0.283,13.85,0.9646
4.2,3.600,0.000,0.0168,1.0000,0.0168,0.00,39.26,mid starboard,0.431,39.26,1.0000
5.1,3.600,0.000,0.1345,1.0000,0.1345,0.00,39.26,mid starboard,0.469,39.26,1.0000
7.1,3.600,0.000,0.0673,0.0000,0.0000,,,,,,
3.1,4.000,0.000,0.3830,0.0000,0.0000,,,,,,
4.1,4.000,0.000,0.2905,0.7733,0.2247,0.00,5.72,mid starboard,0.133,5.72,0.7733
4.2,4.000,0.000,0.0168,1.0000,0.0168,0.00,32.51,mid starboard,0.472,32.51,1.0000
5.1,4.000,0.000,0.1345,1.0000,0.1345,0.00,32.39,mid starboard,0.505,32.39,1.0000
7.1,4.000,0.000,0.0673,0.0000,0.0000,,,,,,
